DrugBank ID,Name,Type,UniProt ID,UniProt Name
DB00020,Sargramostim,BiotechDrug,P26951,Interleukin-3 receptor subunit alpha
DB00020,Sargramostim,BiotechDrug,P32927,Cytokine receptor common subunit beta
DB00020,Sargramostim,BiotechDrug,P34741,Syndecan-2
DB00020,Sargramostim,BiotechDrug,P13727,Bone marrow proteoglycan
DB00022,Peginterferon alfa-2b,BiotechDrug,P17181,Interferon alpha/beta receptor 1
DB00022,Peginterferon alfa-2b,BiotechDrug,P48551,Interferon alpha/beta receptor 2
DB00024,Thyrotropin alfa,BiotechDrug,P16473,Thyrotropin receptor
DB00025,"Antihemophilic factor, human recombinant",BiotechDrug,P00742,Coagulation factor X
DB00025,"Antihemophilic factor, human recombinant",BiotechDrug,P00740,Coagulation factor IX
DB00025,"Antihemophilic factor, human recombinant",BiotechDrug,P04275,von Willebrand factor
DB00025,"Antihemophilic factor, human recombinant",BiotechDrug,O14832,"Phytanoyl-CoA dioxygenase, peroxisomal"
DB00025,"Antihemophilic factor, human recombinant",BiotechDrug,P07307,Asialoglycoprotein receptor 2
DB00025,"Antihemophilic factor, human recombinant",BiotechDrug,P11021,78 kDa glucose-regulated protein
DB00025,"Antihemophilic factor, human recombinant",BiotechDrug,P27797,Calreticulin
DB00025,"Antihemophilic factor, human recombinant",BiotechDrug,P27824,Calnexin
DB00025,"Antihemophilic factor, human recombinant",BiotechDrug,P49257,Protein ERGIC-53
DB00025,"Antihemophilic factor, human recombinant",BiotechDrug,Q07954,Prolow-density lipoprotein receptor-related protein 1
DB00025,"Antihemophilic factor, human recombinant",BiotechDrug,Q8NI22,Multiple coagulation factor deficiency protein 2
DB00026,Anakinra,BiotechDrug,P14778,Interleukin-1 receptor type 1
DB00028,Immune Globulin Human,BiotechDrug,P12314,High affinity immunoglobulin gamma Fc receptor I
DB00028,Immune Globulin Human,BiotechDrug,Q92637,High affinity immunoglobulin gamma Fc receptor IB
DB00028,Immune Globulin Human,BiotechDrug,P12318,Low affinity immunoglobulin gamma Fc region receptor II-a
DB00028,Immune Globulin Human,BiotechDrug,P31994,Low affinity immunoglobulin gamma Fc region receptor II-b
DB00028,Immune Globulin Human,BiotechDrug,P31995,Low affinity immunoglobulin gamma Fc region receptor II-c
DB00028,Immune Globulin Human,BiotechDrug,P08637,Low affinity immunoglobulin gamma Fc region receptor III-A
DB00028,Immune Globulin Human,BiotechDrug,O75015,Low affinity immunoglobulin gamma Fc region receptor III-B
DB00028,Immune Globulin Human,BiotechDrug,P01024,Complement C3
DB00028,Immune Globulin Human,BiotechDrug,P0C0L4,Complement C4-A
DB00028,Immune Globulin Human,BiotechDrug,P0C0L5,Complement C4-B
DB00028,Immune Globulin Human,BiotechDrug,P01031,Complement C5
DB00029,Anistreplase,BiotechDrug,P00747,Plasminogen
DB00029,Anistreplase,BiotechDrug,P02671,Fibrinogen alpha chain
DB00029,Anistreplase,BiotechDrug,Q03405,Urokinase plasminogen activator surface receptor
DB00029,Anistreplase,BiotechDrug,P05121,Plasminogen activator inhibitor 1
DB00030,Insulin Human,BiotechDrug,P06213,Insulin receptor
DB00030,Insulin Human,BiotechDrug,P08069,Insulin-like growth factor 1 receptor
DB00030,Insulin Human,BiotechDrug,P06400,Retinoblastoma-associated protein
DB00030,Insulin Human,BiotechDrug,P07339,Cathepsin D
DB00030,Insulin Human,BiotechDrug,P14735,Insulin-degrading enzyme
DB00030,Insulin Human,BiotechDrug,P16519,Neuroendocrine convertase 2
DB00030,Insulin Human,BiotechDrug,P16870,Carboxypeptidase E
DB00030,Insulin Human,BiotechDrug,P29120,Neuroendocrine convertase 1
DB00030,Insulin Human,BiotechDrug,P48745,Protein NOV homolog
DB00030,Insulin Human,BiotechDrug,P98164,Low-density lipoprotein receptor-related protein 2
DB00030,Insulin Human,BiotechDrug,Q16270,Insulin-like growth factor-binding protein 7
DB00030,Insulin Human,BiotechDrug,Q96C24,Synaptotagmin-like protein 4
DB00031,Tenecteplase,BiotechDrug,P00747,Plasminogen
DB00031,Tenecteplase,BiotechDrug,P02671,Fibrinogen alpha chain
DB00031,Tenecteplase,BiotechDrug,Q03405,Urokinase plasminogen activator surface receptor
DB00031,Tenecteplase,BiotechDrug,P05121,Plasminogen activator inhibitor 1
DB00031,Tenecteplase,BiotechDrug,P05120,Plasminogen activator inhibitor 2
DB00031,Tenecteplase,BiotechDrug,P05452,Tetranectin
DB00031,Tenecteplase,BiotechDrug,P05787,"Keratin, type II cytoskeletal 8"
DB00031,Tenecteplase,BiotechDrug,P07355,Annexin A2
DB00031,Tenecteplase,BiotechDrug,P27797,Calreticulin
DB00031,Tenecteplase,BiotechDrug,P27824,Calnexin
DB00031,Tenecteplase,BiotechDrug,Q07954,Prolow-density lipoprotein receptor-related protein 1
DB00032,Menotropins,BiotechDrug,P23945,Follicle-stimulating hormone receptor
DB00032,Menotropins,BiotechDrug,P22888,Lutropin-choriogonadotropic hormone receptor
DB00033,Interferon gamma-1b,BiotechDrug,P15260,Interferon gamma receptor 1
DB00033,Interferon gamma-1b,BiotechDrug,P38484,Interferon gamma receptor 2
DB00034,"Interferon Alfa-2a, Recombinant",BiotechDrug,P17181,Interferon alpha/beta receptor 1
DB00034,"Interferon Alfa-2a, Recombinant",BiotechDrug,P48551,Interferon alpha/beta receptor 2
DB00035,Desmopressin,SmallMoleculeDrug,P30518,Vasopressin V2 receptor
DB00035,Desmopressin,SmallMoleculeDrug,P37288,Vasopressin V1a receptor
DB00035,Desmopressin,SmallMoleculeDrug,P47901,Vasopressin V1b receptor
DB00036,Coagulation factor VIIa Recombinant Human,BiotechDrug,P00742,Coagulation factor X
DB00036,Coagulation factor VIIa Recombinant Human,BiotechDrug,P05981,Serine protease hepsin
DB00036,Coagulation factor VIIa Recombinant Human,BiotechDrug,P10646,Tissue factor pathway inhibitor
DB00036,Coagulation factor VIIa Recombinant Human,BiotechDrug,P38435,Vitamin K-dependent gamma-carboxylase
DB00036,Coagulation factor VIIa Recombinant Human,BiotechDrug,P08709,Coagulation factor VII
DB00036,Coagulation factor VIIa Recombinant Human,BiotechDrug,P13726,Tissue factor
DB00038,Oprelvekin,BiotechDrug,Q14626,Interleukin-11 receptor subunit alpha
DB00039,Palifermin,BiotechDrug,P21802,Fibroblast growth factor receptor 2
DB00039,Palifermin,BiotechDrug,O14786,Neuropilin-1
DB00039,Palifermin,BiotechDrug,P11362,Fibroblast growth factor receptor 1
DB00039,Palifermin,BiotechDrug,P22455,Fibroblast growth factor receptor 4
DB00039,Palifermin,BiotechDrug,P22607,Fibroblast growth factor receptor 3
DB00039,Palifermin,BiotechDrug,P98160,Basement membrane-specific heparan sulfate proteoglycan core protein
DB00040,Glucagon,BiotechDrug,P47871,Glucagon receptor
DB00040,Glucagon,BiotechDrug,O95838,Glucagon-like peptide 2 receptor
DB00040,Glucagon,BiotechDrug,P43220,Glucagon-like peptide 1 receptor
DB00041,Aldesleukin,BiotechDrug,P14784,Interleukin-2 receptor subunit beta
DB00041,Aldesleukin,BiotechDrug,P01589,Interleukin-2 receptor subunit alpha
DB00041,Aldesleukin,BiotechDrug,P31785,Cytokine receptor common subunit gamma
DB00042,Botulinum Toxin Type B,BiotechDrug,P63027,Vesicle-associated membrane protein 2
DB00042,Botulinum Toxin Type B,BiotechDrug,P23763,Vesicle-associated membrane protein 1
DB00042,Botulinum Toxin Type B,BiotechDrug,Q8N9I0,Synaptotagmin-2
DB00043,Omalizumab,BiotechDrug,P12319,High affinity immunoglobulin epsilon receptor subunit alpha
DB00043,Omalizumab,BiotechDrug,Q01362,High affinity immunoglobulin epsilon receptor subunit beta
DB00044,Lutropin alfa,BiotechDrug,P22888,Lutropin-choriogonadotropic hormone receptor
DB00045,Lyme disease vaccine (recombinant OspA),BiotechDrug,O60603,Toll-like receptor 2
DB00046,Insulin Lispro,BiotechDrug,P06213,Insulin receptor
DB00046,Insulin Lispro,BiotechDrug,P08069,Insulin-like growth factor 1 receptor
DB00047,Insulin Glargine,BiotechDrug,P06213,Insulin receptor
DB00047,Insulin Glargine,BiotechDrug,P08069,Insulin-like growth factor 1 receptor
DB00048,Collagenase clostridium histolyticum,BiotechDrug,P02452,Collagen alpha-1(I) chain
DB00048,Collagenase clostridium histolyticum,BiotechDrug,P02458,Collagen alpha-1(II) chain
DB00048,Collagenase clostridium histolyticum,BiotechDrug,P02461,Collagen alpha-1(III) chain
DB00048,Collagenase clostridium histolyticum,BiotechDrug,P08123,Collagen alpha-2(I) chain
DB00050,Cetrorelix,SmallMoleculeDrug,P30968,Gonadotropin-releasing hormone receptor
DB00050,Cetrorelix,SmallMoleculeDrug,P22888,Lutropin-choriogonadotropic hormone receptor
DB00051,Adalimumab,BiotechDrug,P01375,Tumor necrosis factor
DB00052,Somatotropin,BiotechDrug,P10912,Growth hormone receptor
DB00052,Somatotropin,BiotechDrug,P16471,Prolactin receptor
DB00054,Abciximab,BiotechDrug,P05106,Integrin beta-3
DB00054,Abciximab,BiotechDrug,P08514,Integrin alpha-IIb
DB00054,Abciximab,BiotechDrug,O75015,Low affinity immunoglobulin gamma Fc region receptor III-B
DB00054,Abciximab,BiotechDrug,P00736,Complement C1r subcomponent
DB00054,Abciximab,BiotechDrug,P02745,Complement C1q subcomponent subunit A
DB00054,Abciximab,BiotechDrug,P02746,Complement C1q subcomponent subunit B
DB00054,Abciximab,BiotechDrug,P02747,Complement C1q subcomponent subunit C
DB00054,Abciximab,BiotechDrug,P08637,Low affinity immunoglobulin gamma Fc region receptor III-A
DB00054,Abciximab,BiotechDrug,P09871,Complement C1s subcomponent
DB00054,Abciximab,BiotechDrug,P12314,High affinity immunoglobulin gamma Fc receptor I
DB00054,Abciximab,BiotechDrug,P12318,Low affinity immunoglobulin gamma Fc region receptor II-a
DB00054,Abciximab,BiotechDrug,P31994,Low affinity immunoglobulin gamma Fc region receptor II-b
DB00054,Abciximab,BiotechDrug,P31995,Low affinity immunoglobulin gamma Fc region receptor II-c
DB00054,Abciximab,BiotechDrug,P04004,Vitronectin
DB00055,Drotrecogin alfa,BiotechDrug,P00451,Coagulation factor VIII
DB00055,Drotrecogin alfa,BiotechDrug,P12259,Coagulation factor V
DB00055,Drotrecogin alfa,BiotechDrug,P05121,Plasminogen activator inhibitor 1
DB00055,Drotrecogin alfa,BiotechDrug,P07204,Thrombomodulin
DB00055,Drotrecogin alfa,BiotechDrug,P07225,Vitamin K-dependent protein S
DB00055,Drotrecogin alfa,BiotechDrug,P00450,Ceruloplasmin
DB00055,Drotrecogin alfa,BiotechDrug,P00734,Prothrombin
DB00055,Drotrecogin alfa,BiotechDrug,P02776,Platelet factor 4
DB00055,Drotrecogin alfa,BiotechDrug,P05154,Plasma serine protease inhibitor
DB00055,Drotrecogin alfa,BiotechDrug,P35237,Serpin B6
DB00055,Drotrecogin alfa,BiotechDrug,P38435,Vitamin K-dependent gamma-carboxylase
DB00055,Drotrecogin alfa,BiotechDrug,Q9UNN8,Endothelial protein C receptor
DB00056,Gemtuzumab ozogamicin,BiotechDrug,P20138,Myeloid cell surface antigen CD33
DB00056,Gemtuzumab ozogamicin,BiotechDrug,O75015,Low affinity immunoglobulin gamma Fc region receptor III-B
DB00056,Gemtuzumab ozogamicin,BiotechDrug,P00736,Complement C1r subcomponent
DB00056,Gemtuzumab ozogamicin,BiotechDrug,P02745,Complement C1q subcomponent subunit A
DB00056,Gemtuzumab ozogamicin,BiotechDrug,P02746,Complement C1q subcomponent subunit B
DB00056,Gemtuzumab ozogamicin,BiotechDrug,P02747,Complement C1q subcomponent subunit C
DB00056,Gemtuzumab ozogamicin,BiotechDrug,P08637,Low affinity immunoglobulin gamma Fc region receptor III-A
DB00056,Gemtuzumab ozogamicin,BiotechDrug,P09871,Complement C1s subcomponent
DB00056,Gemtuzumab ozogamicin,BiotechDrug,P12314,High affinity immunoglobulin gamma Fc receptor I
DB00056,Gemtuzumab ozogamicin,BiotechDrug,P12318,Low affinity immunoglobulin gamma Fc region receptor II-a
DB00056,Gemtuzumab ozogamicin,BiotechDrug,P31994,Low affinity immunoglobulin gamma Fc region receptor II-b
DB00056,Gemtuzumab ozogamicin,BiotechDrug,P31995,Low affinity immunoglobulin gamma Fc region receptor II-c
DB00058,Alpha-1-proteinase inhibitor,BiotechDrug,P08246,Neutrophil elastase
DB00060,Interferon beta-1a,BiotechDrug,P17181,Interferon alpha/beta receptor 1
DB00060,Interferon beta-1a,BiotechDrug,P48551,Interferon alpha/beta receptor 2
DB00061,Pegademase bovine,BiotechDrug,P62993,Growth factor receptor-bound protein 2
DB00063,Eptifibatide,BiotechDrug,P05106,Integrin beta-3
DB00065,Infliximab,BiotechDrug,P01375,Tumor necrosis factor
DB00066,Follitropin,BiotechDrug,P23945,Follicle-stimulating hormone receptor
DB00067,Vasopressin,SmallMoleculeDrug,P30518,Vasopressin V2 receptor
DB00067,Vasopressin,SmallMoleculeDrug,P37288,Vasopressin V1a receptor
DB00067,Vasopressin,SmallMoleculeDrug,P47901,Vasopressin V1b receptor
DB00068,Interferon beta-1b,BiotechDrug,P17181,Interferon alpha/beta receptor 1
DB00068,Interferon beta-1b,BiotechDrug,P48551,Interferon alpha/beta receptor 2
DB00069,Interferon alfacon-1,BiotechDrug,P17181,Interferon alpha/beta receptor 1
DB00069,Interferon alfacon-1,BiotechDrug,P48551,Interferon alpha/beta receptor 2
DB00070,Hyaluronidase,BiotechDrug,P01137,Transforming growth factor beta-1
DB00071,Insulin Pork,BiotechDrug,P06213,Insulin receptor
DB00071,Insulin Pork,BiotechDrug,P08069,Insulin-like growth factor 1 receptor
DB00071,Insulin Pork,BiotechDrug,P14735,Insulin-degrading enzyme
DB00071,Insulin Pork,BiotechDrug,P01906,"HLA class II histocompatibility antigen, DQ alpha 2 chain"
DB00071,Insulin Pork,BiotechDrug,P01920,"HLA class II histocompatibility antigen, DQ beta 1 chain"
DB00071,Insulin Pork,BiotechDrug,P06400,Retinoblastoma-associated protein
DB00071,Insulin Pork,BiotechDrug,P07339,Cathepsin D
DB00071,Insulin Pork,BiotechDrug,P16870,Carboxypeptidase E
DB00071,Insulin Pork,BiotechDrug,P16519,Neuroendocrine convertase 2
DB00071,Insulin Pork,BiotechDrug,P29120,Neuroendocrine convertase 1
DB00071,Insulin Pork,BiotechDrug,P48745,Protein NOV homolog
DB00071,Insulin Pork,BiotechDrug,P98164,Low-density lipoprotein receptor-related protein 2
DB00071,Insulin Pork,BiotechDrug,Q16270,Insulin-like growth factor-binding protein 7
DB00071,Insulin Pork,BiotechDrug,Q96C24,Synaptotagmin-like protein 4
DB00072,Trastuzumab,BiotechDrug,P04626,Receptor tyrosine-protein kinase erbB-2
DB00072,Trastuzumab,BiotechDrug,P00533,Epidermal growth factor receptor
DB00072,Trastuzumab,BiotechDrug,P00736,Complement C1r subcomponent
DB00072,Trastuzumab,BiotechDrug,P02745,Complement C1q subcomponent subunit A
DB00072,Trastuzumab,BiotechDrug,P02746,Complement C1q subcomponent subunit B
DB00072,Trastuzumab,BiotechDrug,P02747,Complement C1q subcomponent subunit C
DB00072,Trastuzumab,BiotechDrug,P09871,Complement C1s subcomponent
DB00072,Trastuzumab,BiotechDrug,P12314,High affinity immunoglobulin gamma Fc receptor I
DB00072,Trastuzumab,BiotechDrug,P12318,Low affinity immunoglobulin gamma Fc region receptor II-a
DB00072,Trastuzumab,BiotechDrug,P31994,Low affinity immunoglobulin gamma Fc region receptor II-b
DB00072,Trastuzumab,BiotechDrug,P31995,Low affinity immunoglobulin gamma Fc region receptor II-c
DB00072,Trastuzumab,BiotechDrug,O75015,Low affinity immunoglobulin gamma Fc region receptor III-B
DB00072,Trastuzumab,BiotechDrug,P08637,Low affinity immunoglobulin gamma Fc region receptor III-A
DB00073,Rituximab,BiotechDrug,P11836,B-lymphocyte antigen CD20
DB00074,Basiliximab,BiotechDrug,P01589,Interleukin-2 receptor subunit alpha
DB00074,Basiliximab,BiotechDrug,P14784,Interleukin-2 receptor subunit beta
DB00074,Basiliximab,BiotechDrug,P12314,High affinity immunoglobulin gamma Fc receptor I
DB00074,Basiliximab,BiotechDrug,P08637,Low affinity immunoglobulin gamma Fc region receptor III-A
DB00074,Basiliximab,BiotechDrug,P12318,Low affinity immunoglobulin gamma Fc region receptor II-a
DB00074,Basiliximab,BiotechDrug,P31994,Low affinity immunoglobulin gamma Fc region receptor II-b
DB00074,Basiliximab,BiotechDrug,P31995,Low affinity immunoglobulin gamma Fc region receptor II-c
DB00074,Basiliximab,BiotechDrug,O75015,Low affinity immunoglobulin gamma Fc region receptor III-B
DB00074,Basiliximab,BiotechDrug,P09871,Complement C1s subcomponent
DB00074,Basiliximab,BiotechDrug,P00736,Complement C1r subcomponent
DB00074,Basiliximab,BiotechDrug,P02745,Complement C1q subcomponent subunit A
DB00074,Basiliximab,BiotechDrug,P02746,Complement C1q subcomponent subunit B
DB00074,Basiliximab,BiotechDrug,P02747,Complement C1q subcomponent subunit C
DB00075,Muromonab,BiotechDrug,P04234,T-cell surface glycoprotein CD3 delta chain
DB00075,Muromonab,BiotechDrug,P07766,T-cell surface glycoprotein CD3 epsilon chain
DB00075,Muromonab,BiotechDrug,P09693,T-cell surface glycoprotein CD3 gamma chain
DB00075,Muromonab,BiotechDrug,P20963,T-cell surface glycoprotein CD3 zeta chain
DB00075,Muromonab,BiotechDrug,O75015,Low affinity immunoglobulin gamma Fc region receptor III-B
DB00075,Muromonab,BiotechDrug,P00736,Complement C1r subcomponent
DB00075,Muromonab,BiotechDrug,P02745,Complement C1q subcomponent subunit A
DB00075,Muromonab,BiotechDrug,P02746,Complement C1q subcomponent subunit B
DB00075,Muromonab,BiotechDrug,P02747,Complement C1q subcomponent subunit C
DB00075,Muromonab,BiotechDrug,P08637,Low affinity immunoglobulin gamma Fc region receptor III-A
DB00075,Muromonab,BiotechDrug,P09871,Complement C1s subcomponent
DB00075,Muromonab,BiotechDrug,P12314,High affinity immunoglobulin gamma Fc receptor I
DB00075,Muromonab,BiotechDrug,P12318,Low affinity immunoglobulin gamma Fc region receptor II-a
DB00075,Muromonab,BiotechDrug,P31994,Low affinity immunoglobulin gamma Fc region receptor II-b
DB00075,Muromonab,BiotechDrug,P31995,Low affinity immunoglobulin gamma Fc region receptor II-c
DB00078,Ibritumomab tiuxetan,BiotechDrug,P11836,B-lymphocyte antigen CD20
DB00078,Ibritumomab tiuxetan,BiotechDrug,O75015,Low affinity immunoglobulin gamma Fc region receptor III-B
DB00078,Ibritumomab tiuxetan,BiotechDrug,P00736,Complement C1r subcomponent
DB00078,Ibritumomab tiuxetan,BiotechDrug,P02745,Complement C1q subcomponent subunit A
DB00078,Ibritumomab tiuxetan,BiotechDrug,P02746,Complement C1q subcomponent subunit B
DB00078,Ibritumomab tiuxetan,BiotechDrug,P02747,Complement C1q subcomponent subunit C
DB00078,Ibritumomab tiuxetan,BiotechDrug,P08637,Low affinity immunoglobulin gamma Fc region receptor III-A
DB00078,Ibritumomab tiuxetan,BiotechDrug,P09871,Complement C1s subcomponent
DB00078,Ibritumomab tiuxetan,BiotechDrug,P12314,High affinity immunoglobulin gamma Fc receptor I
DB00078,Ibritumomab tiuxetan,BiotechDrug,P12318,Low affinity immunoglobulin gamma Fc region receptor II-a
DB00078,Ibritumomab tiuxetan,BiotechDrug,P31994,Low affinity immunoglobulin gamma Fc region receptor II-b
DB00078,Ibritumomab tiuxetan,BiotechDrug,P31995,Low affinity immunoglobulin gamma Fc region receptor II-c
DB00081,Tositumomab,BiotechDrug,P11836,B-lymphocyte antigen CD20
DB00081,Tositumomab,BiotechDrug,O75015,Low affinity immunoglobulin gamma Fc region receptor III-B
DB00081,Tositumomab,BiotechDrug,P00736,Complement C1r subcomponent
DB00081,Tositumomab,BiotechDrug,P02745,Complement C1q subcomponent subunit A
DB00081,Tositumomab,BiotechDrug,P02746,Complement C1q subcomponent subunit B
DB00081,Tositumomab,BiotechDrug,P02747,Complement C1q subcomponent subunit C
DB00081,Tositumomab,BiotechDrug,P08637,Low affinity immunoglobulin gamma Fc region receptor III-A
DB00081,Tositumomab,BiotechDrug,P12314,High affinity immunoglobulin gamma Fc receptor I
DB00081,Tositumomab,BiotechDrug,P12318,Low affinity immunoglobulin gamma Fc region receptor II-a
DB00081,Tositumomab,BiotechDrug,P31994,Low affinity immunoglobulin gamma Fc region receptor II-b
DB00081,Tositumomab,BiotechDrug,P31995,Low affinity immunoglobulin gamma Fc region receptor II-c
DB00082,Pegvisomant,BiotechDrug,P10912,Growth hormone receptor
DB00083,Botulinum Toxin Type A,BiotechDrug,P60880,Synaptosomal-associated protein 25
DB00083,Botulinum Toxin Type A,BiotechDrug,P62745,Rho-related GTP-binding protein RhoB
DB00086,Streptokinase,BiotechDrug,P00747,Plasminogen
DB00086,Streptokinase,BiotechDrug,P25116,Proteinase-activated receptor 1
DB00087,Alemtuzumab,BiotechDrug,P31358,CAMPATH-1 antigen
DB00087,Alemtuzumab,BiotechDrug,O75015,Low affinity immunoglobulin gamma Fc region receptor III-B
DB00087,Alemtuzumab,BiotechDrug,P00736,Complement C1r subcomponent
DB00087,Alemtuzumab,BiotechDrug,P02745,Complement C1q subcomponent subunit A
DB00087,Alemtuzumab,BiotechDrug,P02746,Complement C1q subcomponent subunit B
DB00087,Alemtuzumab,BiotechDrug,P02747,Complement C1q subcomponent subunit C
DB00087,Alemtuzumab,BiotechDrug,P08637,Low affinity immunoglobulin gamma Fc region receptor III-A
DB00087,Alemtuzumab,BiotechDrug,P12314,High affinity immunoglobulin gamma Fc receptor I
DB00087,Alemtuzumab,BiotechDrug,P12318,Low affinity immunoglobulin gamma Fc region receptor II-a
DB00087,Alemtuzumab,BiotechDrug,P31994,Low affinity immunoglobulin gamma Fc region receptor II-b
DB00087,Alemtuzumab,BiotechDrug,P31995,Low affinity immunoglobulin gamma Fc region receptor II-c
DB00089,Capromab pendetide,BiotechDrug,Q04609,Glutamate carboxypeptidase 2
DB00091,Ciclosporin,SmallMoleculeDrug,P49069,Calcium signal-modulating cyclophilin ligand
DB00091,Ciclosporin,SmallMoleculeDrug,Q96LZ3,Calcineurin subunit B type 2
DB00091,Ciclosporin,SmallMoleculeDrug,P62937,Peptidyl-prolyl cis-trans isomerase A
DB00091,Ciclosporin,SmallMoleculeDrug,P30405,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial"
DB00092,Alefacept,BiotechDrug,P06729,T-cell surface antigen CD2
